,nationality,height,weight,gold,silver,bronze,medals,country
179,CPV,1.7740000000000002,63.5,0.0,0.0,0.0,0.0,Cabo Verde
180,DMA,1.79,74.0,0.0,0.0,0.0,0.0,Dominica
181,DJI,1.7357142857142855,64.85714285714286,0.0,0.0,0.0,0.0,Djibouti
182,CYP,1.7881250000000002,71.4375,0.0,0.0,0.0,0.0,Cyprus
183,MOZ,1.745,68.83333333333333,0.0,0.0,0.0,0.0,Mozambique
184,CRC,1.7290000000000003,69.0,0.0,0.0,0.0,0.0,Invalid Code
185,COM,1.6849999999999998,60.25,0.0,0.0,0.0,0.0,Comoros
186,COK,1.7266666666666666,72.8888888888889,0.0,0.0,0.0,0.0,Cook Islands
187,COD,1.63,57.0,0.0,0.0,0.0,0.0,"Congo, The Democratic Republic of the"
188,CMR,1.749583333333334,73.5,0.0,0.0,0.0,0.0,Cameroon
189,CHI,1.7369047619047624,69.14285714285714,0.0,0.0,0.0,0.0,Invalid Code
190,CHA,1.73,51.5,0.0,0.0,0.0,0.0,Invalid Code
191,CGO,1.7488888888888887,82.25,0.0,0.0,0.0,0.0,Invalid Code
192,MRI,1.7360000000000002,61.625,0.0,0.0,0.0,0.0,Invalid Code
193,ROT,1.715,63.0,0.0,0.0,0.0,0.0,Invalid Code
194,AFG,1.7366666666666666,74.0,0.0,0.0,0.0,0.0,Afghanistan
195,MYA,1.7,63.16666666666666,0.0,0.0,0.0,0.0,Invalid Code
196,SAM,1.6349999999999998,68.0,0.0,0.0,0.0,0.0,Invalid Code
197,TGA,1.7771428571428574,79.0,0.0,0.0,0.0,0.0,Invalid Code
198,TAN,1.6766666666666663,57.85714285714285,0.0,0.0,0.0,0.0,Invalid Code
199,SYR,1.8533333333333333,84.83333333333333,0.0,0.0,0.0,0.0,Syrian Arab Republic
200,SWZ,1.75,69.5,0.0,0.0,0.0,0.0,Eswatini
201,SUR,1.9,78.0,0.0,0.0,0.0,0.0,Suriname
202,SUD,1.7366666666666668,68.0,0.0,0.0,0.0,0.0,Invalid Code
203,STP,1.68,57.33333333333334,0.0,0.0,0.0,0.0,Sao Tome and Principe
204,SSD,1.7333333333333334,63.33333333333334,0.0,0.0,0.0,0.0,South Sudan
205,SRI,1.6877777777777783,63.88888888888889,0.0,0.0,0.0,0.0,Invalid Code
206,ZIM,1.6760000000000002,62.65714285714286,0.0,0.0,0.0,0.0,Invalid Code
