nationality,height,weight,gold,silver,bronze,medals
PLW,1.616,80.4,0.0,0.0,0.0,0.0
TKM,1.7499999999999998,78.25,0.0,0.0,0.0,0.0
TLS,1.5999999999999999,,0.0,0.0,0.0,0.0
NAM,1.704,57.0,0.0,0.0,0.0,0.0
NCA,1.706,62.0,0.0,0.0,0.0,0.0
NEP,1.6299999999999997,59.285714285714285,0.0,0.0,0.0,0.0
YEM,1.6966666666666665,64.66666666666667,0.0,0.0,0.0,0.0
VIN,1.755,60.0,0.0,0.0,0.0,0.0
VAN,1.7666666666666668,70.33333333333333,0.0,0.0,0.0,0.0
URU,1.7676470588235296,72.11764705882354,0.0,0.0,0.0,0.0
PLE,1.68,58.5,0.0,0.0,0.0,0.0
NRU,1.625,73.0,0.0,0.0,0.0,0.0
UGA,1.76,,0.0,0.0,0.0,0.0
TUV,1.84,72.0,0.0,0.0,0.0,0.0
OMA,1.67,77.33333333333333,0.0,0.0,0.0,0.0
TOG,1.58,53.0,0.0,0.0,0.0,0.0
PAK,1.722,76.6,0.0,0.0,0.0,0.0
PAN,1.686,82.44444444444444,0.0,0.0,0.0,0.0
PAR,1.739090909090909,71.81818181818181,0.0,0.0,0.0,0.0
PER,1.6879310344827587,62.93103448275862,0.0,0.0,0.0,0.0
SEN,1.7809090909090906,72.86363636363636,0.0,0.0,0.0,0.0
SOL,1.65,58.0,0.0,0.0,0.0,0.0
SOM,,,0.0,0.0,0.0,0.0
MTN,1.705,63.5,0.0,0.0,0.0,0.0
CPV,1.7740000000000002,63.5,0.0,0.0,0.0,0.0
DMA,1.79,74.0,0.0,0.0,0.0,0.0
DJI,1.7357142857142855,64.85714285714286,0.0,0.0,0.0,0.0
CYP,1.7881250000000002,71.4375,0.0,0.0,0.0,0.0
MOZ,1.745,68.83333333333333,0.0,0.0,0.0,0.0
CRC,1.7290000000000003,69.0,0.0,0.0,0.0,0.0
COM,1.6849999999999998,60.25,0.0,0.0,0.0,0.0
COK,1.7266666666666666,72.88888888888889,0.0,0.0,0.0,0.0
COD,1.63,57.0,0.0,0.0,0.0,0.0
CMR,1.749583333333334,73.5,0.0,0.0,0.0,0.0
CHI,1.7369047619047624,69.14285714285714,0.0,0.0,0.0,0.0
CHA,1.73,51.5,0.0,0.0,0.0,0.0
CGO,1.7488888888888887,82.25,0.0,0.0,0.0,0.0
MRI,1.7360000000000002,61.625,0.0,0.0,0.0,0.0
ROT,1.7149999999999999,63.0,0.0,0.0,0.0,0.0
AFG,1.7366666666666666,74.0,0.0,0.0,0.0,0.0
MYA,1.7,63.166666666666664,0.0,0.0,0.0,0.0
SAM,1.6349999999999998,68.0,0.0,0.0,0.0,0.0
TGA,1.7771428571428574,79.0,0.0,0.0,0.0,0.0
TAN,1.6766666666666665,57.857142857142854,0.0,0.0,0.0,0.0
SYR,1.8533333333333335,84.83333333333333,0.0,0.0,0.0,0.0
SWZ,1.75,69.5,0.0,0.0,0.0,0.0
SUR,1.9,78.0,0.0,0.0,0.0,0.0
SUD,1.736666666666667,68.0,0.0,0.0,0.0,0.0
STP,1.68,57.333333333333336,0.0,0.0,0.0,0.0
SSD,1.7333333333333334,63.333333333333336,0.0,0.0,0.0,0.0
SRI,1.687777777777778,63.888888888888886,0.0,0.0,0.0,0.0
ZIM,1.6760000000000002,62.65714285714286,0.0,0.0,0.0,0.0
