,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
92,37893138,Alexander Lerionka Sampao,KEN,male,1996-12-31,1.75190041114664,67.0,athletics,0.0,0.0,0.0
93,658069337,Alexander Russo,BRA,male,1994-07-26,1.73,61.0,athletics,0.0,0.0,0.0
94,878621949,Alexandra Burghardt,GER,female,1994-04-28,1.81,70.0,athletics,0.0,0.0,0.0
95,692519892,Alexandra Tavernier,FRA,female,1993-12-13,1.7,82.0,athletics,0.0,0.0,0.0
96,872947130,Alexandra Wester,GER,female,1994-03-21,1.8,64.0,athletics,0.0,0.0,0.0
97,809372786,Alexandros Papamichail,GRE,male,1988-09-18,1.78,63.0,athletics,0.0,0.0,0.0
98,448880966,Alexi Pappas,GRE,female,1990-03-28,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
100,475919800,Alfred Kipketer,KEN,male,1996-12-28,1.67,60.0,athletics,0.0,0.0,0.0
102,670890480,Ali Kaya,TUR,male,1994-04-20,1.75,54.0,athletics,0.0,0.0,0.0
103,702507964,Ali Khamis Khamis,BRN,male,1995-06-30,1.82,70.0,athletics,0.0,0.0,0.0
104,716391442,Ali Messaoudi,ALG,male,1995-10-13,1.78,63.0,athletics,0.0,0.0,0.0
106,432850961,Alia Saeed Mohammed,UAE,female,1993-11-13,1.58,54.0,athletics,0.0,0.0,0.0
107,564017885,Aliaksandr Liakhovich,BLR,male,1989-07-04,1.72,65.0,athletics,0.0,0.0,0.0
108,198660870,Alice Aprot Nawowuna,KEN,female,1994-01-02,1.52,54.0,athletics,0.0,0.0,0.0
109,537043954,Alicia Brown,CAN,female,1990-01-21,1.65,57.0,athletics,0.0,0.0,0.0
110,146849551,Alina Armas,NAM,female,1983-12-10,1.66,53.0,athletics,0.0,0.0,0.0
111,9436047,Alina Fodorova,UKR,female,1989-07-31,1.75,65.0,athletics,0.0,0.0,0.0
112,26321098,Alina Logvynenko,UKR,female,1990-07-18,1.8,67.0,athletics,0.0,0.0,0.0
113,564738938,Alina Rotaru,ROU,female,1993-06-05,1.75,57.0,athletics,0.0,0.0,0.0
114,137031539,Alina Talay,BLR,female,1989-05-14,1.64,57.0,athletics,0.0,0.0,0.0
115,833092832,Aliona Dubitskaya,BLR,female,1990-01-25,1.8,76.0,athletics,0.0,0.0,0.0
117,340019479,Aliyah Abrams,GUY,female,1997-04-03,1.63,53.0,athletics,0.0,0.0,0.0
119,881130710,Allistar Clarke,SKN,male,1990-10-03,1.87,71.0,athletics,0.0,0.0,0.0
120,9410967,Almaz Ayana,ETH,female,1991-11-21,1.66,47.0,athletics,1.0,0.0,1.0
121,506696121,Alonso Edward,PAN,male,1989-12-08,1.81,76.0,athletics,0.0,0.0,0.0
122,791528062,Alonzo Russell,BAH,male,1992-02-08,1.75190041114664,67.71773825809393,athletics,0.0,0.0,1.0
123,860469603,Alphas Leken Kishoyian,KEN,male,1994-01-01,1.67,59.0,athletics,0.0,0.0,0.0
124,601227072,Alphonce Felix Simbu,TAN,male,1992-02-14,1.75190041114664,55.0,athletics,0.0,0.0,0.0
125,46528538,Altobeli da Silva,BRA,male,1990-12-03,1.81,60.0,athletics,0.0,0.0,0.0
126,407705493,Alvaro Martin,ESP,male,1994-06-18,1.79,63.0,athletics,0.0,0.0,0.0
127,349070925,Alvaro de Arriba,ESP,male,1994-06-02,1.77,69.0,athletics,0.0,0.0,0.0
128,362885756,Alyn Camara,GER,male,1989-03-31,1.96,84.0,athletics,0.0,0.0,0.0
129,317210453,Alysbeth Felix,PUR,female,1993-03-07,1.71,59.0,athletics,0.0,0.0,0.0
130,746918674,Alysha Newman,CAN,female,1994-06-29,1.72,67.0,athletics,0.0,0.0,0.0
131,299325832,Alyson Dixon,GBR,female,1978-09-24,1.55,43.0,athletics,0.0,0.0,0.0
132,479973349,Alyssa Conley,RSA,female,1991-04-27,1.76,63.0,athletics,0.0,0.0,0.0
133,431586792,Alyxandria Treasure,CAN,female,1992-05-15,1.55,68.0,athletics,0.0,0.0,0.0
134,312519582,Amadou Ndiaye,SEN,male,1992-12-06,1.8,80.0,athletics,0.0,0.0,0.0
135,595234401,Amaka Ogoegbunam,NGR,female,1990-03-03,1.64,61.0,athletics,0.0,0.0,0.0
137,398682051,Amalie Iuel,NOR,female,1994-04-17,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
138,424274474,Amaliya Sharoyan,ARM,female,1988-06-19,1.7,56.0,athletics,0.0,0.0,0.0
139,684370128,Aman Wote,ETH,male,1984-04-18,1.83,68.0,athletics,0.0,0.0,0.0
142,994010453,Amanmurad Hommadov,TKM,male,1989-01-28,1.9,117.0,athletics,0.0,0.0,0.0
143,40874614,Amanuel Mesel,ERI,male,1990-12-29,1.77,59.0,athletics,0.0,0.0,0.0
144,235304532,Amber Campbell,USA,female,1981-06-05,1.71,90.0,athletics,0.0,0.0,0.0
145,193520300,Ambroise Uwiragiye,RWA,male,1980-12-31,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
146,147471231,Ameer Webb,USA,male,1991-03-19,1.81,82.0,athletics,0.0,0.0,0.0
147,250216413,Amel Tuka,BIH,male,1991-01-09,1.87,77.0,athletics,0.0,0.0,0.0
148,577293191,Amela Terzic,SRB,female,1993-01-02,1.69,54.0,athletics,0.0,0.0,0.0
150,811727068,Amina Bettiche,ALG,female,1987-12-14,1.65,55.0,athletics,0.0,0.0,0.0
151,121680559,Amine Belferar,ALG,male,1991-02-16,1.75,65.0,athletics,0.0,0.0,0.0
152,740490618,Amna Bakhit,SUD,female,1990-11-14,1.75,59.0,athletics,0.0,0.0,0.0
153,761085260,Amor Ben Yahia,TUN,male,1985-07-01,1.76,63.0,athletics,0.0,0.0,0.0
154,318291811,Amy Cragg,USA,female,1984-01-21,1.63,45.0,athletics,0.0,0.0,0.0
156,5024454,Amy Sene,SEN,female,1986-04-06,1.75,80.0,athletics,0.0,0.0,0.0
158,914515820,Ana Cabecinha,POR,female,1984-04-29,1.63,48.0,athletics,0.0,0.0,0.0
159,714771450,Ana Claudia Silva,BRA,female,1988-11-06,1.58,56.0,athletics,0.0,0.0,0.0
160,196047650,Ana Dulce Felix,POR,female,1982-10-23,1.66,53.0,athletics,0.0,0.0,0.0
161,685105407,Ana Jose Tima,DOM,female,1989-10-10,1.68,56.0,athletics,0.0,0.0,0.0
163,953050325,Ana Simic,CRO,female,1990-05-05,1.78,57.0,athletics,0.0,0.0,0.0
164,644940241,Ana Veronica Rodean,ROU,female,1984-06-23,1.7,55.0,athletics,0.0,0.0,0.0
165,575717728,Anamaria Ionita,ROU,female,1988-07-07,1.75,60.0,athletics,0.0,0.0,0.0
166,711141982,Anas Beshr,EGY,male,1993-07-19,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
167,922322829,Anaso Jobodwana,RSA,male,1992-07-30,1.87,71.0,athletics,0.0,0.0,0.0
170,204362655,Anastasiya Puzakova,BLR,female,1993-12-12,1.61,45.0,athletics,0.0,0.0,0.0
171,27612186,Anastasiya Tulapina,KAZ,female,1990-03-05,1.67,54.0,athletics,0.0,0.0,0.0
172,673911488,Anastassiya Pilipenko,KAZ,female,1986-09-13,1.74,55.0,athletics,0.0,0.0,0.0
173,347049681,Anastassya Kudinova,KAZ,female,1988-02-27,1.76,60.0,athletics,0.0,0.0,0.0
174,234780868,Ancuta Bobocel,ROU,female,1987-10-03,1.67,49.0,athletics,0.0,0.0,0.0
175,7192762,Andjelko Risticevic,SRB,male,1985-12-23,1.91,78.0,athletics,0.0,0.0,0.0
178,857846421,Andre de Grasse,CAN,male,1994-11-10,1.76,70.0,athletics,0.0,1.0,2.0
179,400345706,Andrea Deelstra,NED,female,1985-03-06,1.64,46.0,athletics,0.0,0.0,0.0
180,478977690,Andrea Geubelle,USA,female,1991-06-26,1.63,58.0,athletics,0.0,0.0,0.0
181,504132188,Andrea Ivancevic,CRO,female,1984-08-21,1.68,62.0,athletics,0.0,0.0,0.0
182,187085633,Andrea Mayr,AUT,female,1979-10-15,1.74,53.0,athletics,0.0,0.0,0.0
183,931620156,Andrea Miklos,ROU,female,1999-04-17,1.65,51.0,athletics,0.0,0.0,0.0
184,976796859,Andrea Seccafien,CAN,female,1990-08-27,1.52,46.0,athletics,0.0,0.0,0.0
186,706697738,Andreas Bube,DEN,male,1987-07-13,1.78,65.0,athletics,0.0,0.0,0.0
187,945918484,Andreea Arsine,ROU,female,1988-09-14,1.59,55.0,athletics,0.0,0.0,0.0
188,882676679,Andrei Churyla,BLR,male,1993-05-19,1.89,74.0,athletics,0.0,0.0,0.0
189,604822032,Andrei Gag,ROU,male,1991-04-27,1.91,120.0,athletics,0.0,0.0,0.0
190,448316510,Andres Arroyo,PUR,male,1995-06-07,1.77,64.0,athletics,0.0,0.0,0.0
191,723895342,Andres Chocho,ECU,male,1983-11-04,1.7,66.0,athletics,0.0,0.0,0.0
192,841462894,Andres Ruiz,COL,male,1988-07-16,1.64,64.0,athletics,0.0,0.0,0.0
193,551708998,Andres Silva,URU,male,1986-03-27,1.78,78.0,athletics,0.0,0.0,0.0
194,721349876,Andressa de Morais,BRA,female,1990-12-21,1.78,97.0,athletics,0.0,0.0,0.0
195,169560751,Andrew Butchart,GBR,male,1991-10-14,1.75,64.0,athletics,0.0,0.0,0.0
196,2538424,Andrew Evans,USA,male,1991-01-25,1.99,113.0,athletics,0.0,0.0,0.0
197,149520623,Andrew Fisher,BRN,male,1991-12-15,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
198,165292505,Andrew Pozzi,GBR,male,1992-05-15,1.9,84.0,athletics,0.0,0.0,0.0
199,926287704,Andrew Riley,JAM,male,1988-09-06,1.85,82.0,athletics,0.0,0.0,0.0
200,665587816,Andrew Vernon,GBR,male,1986-01-07,1.82,71.0,athletics,0.0,0.0,0.0
203,142867058,Andrey Petrov,UZB,male,1986-10-13,1.69,62.0,athletics,0.0,0.0,0.0
206,180553214,Andrius Gudzius,LTU,male,1991-02-14,2.0,130.0,athletics,0.0,0.0,0.0
208,129967030,Andriy Protsenko,UKR,male,1988-05-20,1.94,80.0,athletics,0.0,0.0,0.0
210,855774717,Anel Oosthuizen,RSA,female,1995-04-22,1.67,55.0,athletics,0.0,0.0,0.0
211,868296400,Anezka Drahotova,CZE,female,1995-07-22,1.83,58.0,athletics,0.0,0.0,0.0
213,820102676,Angela Castro,BOL,female,1993-02-21,1.6,54.0,athletics,0.0,0.0,0.0
214,859256652,Angela Petty,NZL,female,1991-08-16,1.68,58.0,athletics,0.0,0.0,0.0
215,772558236,Angela Tenorio,ECU,female,1996-01-27,1.63,56.0,athletics,0.0,0.0,0.0
216,789985846,Angela Whyte,CAN,female,1980-05-22,1.7,62.0,athletics,0.0,0.0,0.0
217,424933321,Angelica Bengtsson,SWE,female,1993-07-08,1.63,52.0,athletics,0.0,0.0,0.0
218,327887923,Angelica Moser,SUI,female,1997-10-09,1.69,65.0,athletics,0.0,0.0,0.0
219,499427026,Angelika Cichocka,POL,female,1988-03-15,1.7,56.0,athletics,0.0,0.0,0.0
220,457358368,Angie Orjuela,COL,female,1989-05-09,1.58,46.0,athletics,0.0,0.0,0.0
222,482234536,Anicka Newell,CAN,female,1993-08-05,1.75,64.0,athletics,0.0,0.0,0.0
223,54089758,Anilda Thomas,IND,female,1993-05-06,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
225,790724196,Anita Hinriksdottir,ISL,female,1996-01-13,1.72,49.0,athletics,0.0,0.0,0.0
226,709319591,Anita Marton,HUN,female,1989-01-15,1.72,95.0,athletics,0.0,0.0,1.0
227,175586177,Anita Wlodarczyk,POL,female,1985-08-08,1.78,95.0,athletics,1.0,0.0,0.0
228,616847626,Anja Scherl,GER,female,1986-04-12,1.6,48.0,athletics,0.0,0.0,0.0
229,109335235,Anjelina Nadai Lohalith,ROT,female,1993-01-01,1.63,50.0,athletics,0.0,0.0,0.0
230,571260050,Anju Takamizawa,JPN,female,1996-03-06,1.65,50.0,athletics,0.0,0.0,0.0
231,307535936,Ankit Sharma,IND,male,1992-07-20,1.77,75.0,athletics,0.0,0.0,0.0
233,636501122,Anna Emilie Moller,DEN,female,1997-07-28,1.66,52.0,athletics,0.0,0.0,0.0
234,471756502,Anna Hahner,GER,female,1989-11-20,1.65,48.0,athletics,0.0,0.0,0.0
235,165448816,Anna Incerti,ITA,female,1980-01-19,1.68,44.0,athletics,0.0,0.0,0.0
236,672606405,Anna Jagaciak,POL,female,1990-02-10,1.77,59.0,athletics,0.0,0.0,0.0
