,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
88,518947875,Chris Anker Sorensen,DEN,male,1984-09-05,1.84,65.0,cycling,0.0,0.0,0.0
89,348981852,Christine Majerus,LUX,female,1987-02-25,1.74,57.0,cycling,0.0,0.0,0.0
90,795060269,Christopher Froome,GBR,male,1985-05-20,1.85,69.0,cycling,0.0,0.0,1.0
91,488320135,Christopher Juul Jensen,DEN,male,1989-07-06,1.85,75.0,cycling,0.0,0.0,0.0
92,416304981,Christos Volikakis,GRE,male,1988-03-25,1.7,85.0,cycling,0.0,0.0,0.0
93,160814814,Chun Hing Chan,HKG,male,1981-04-24,1.7,70.0,cycling,0.0,0.0,0.0
94,932296367,Chun Wing Leung,HKG,male,1994-01-20,1.76,73.0,cycling,0.0,0.0,0.0
95,784773877,Ciara Horne,GBR,female,1989-09-17,1.79,63.0,cycling,0.0,0.0,0.0
96,695148064,Claudia Lichtenberg,GER,female,1985-11-17,1.7,51.0,cycling,0.0,0.0,0.0
97,526600784,Clemilda Fernandes Silva,BRA,female,1979-06-25,1.63,54.0,cycling,0.0,0.0,0.0
98,868434625,Connor Fields,USA,male,1992-09-14,1.83,88.0,cycling,1.0,0.0,0.0
99,752996196,Corben Sharrah,USA,male,1992-04-20,1.83,85.0,cycling,0.0,0.0,0.0
100,601293149,Cyrille Thiery,SUI,male,1990-09-27,1.79,67.0,cycling,0.0,0.0,0.0
101,242973427,Daiva Tuslaite,LTU,female,1986-06-18,1.72,58.0,cycling,0.0,0.0,0.0
102,112793044,Damian Zielinski,POL,male,1981-12-02,1.85,92.0,cycling,0.0,0.0,0.0
103,315107389,Damiano Caruso,ITA,male,1987-10-12,1.79,65.0,cycling,0.0,0.0,0.0
104,715044035,Dan Craven,NAM,male,1983-02-01,1.83,76.0,cycling,0.0,0.0,0.0
105,93209165,Daniel Diaz,ARG,male,1989-07-07,1.68,63.0,cycling,0.0,0.0,0.0
106,635773855,Daniel Martin,IRL,male,1986-08-20,1.76,63.0,cycling,0.0,0.0,0.0
107,108357874,Daniel McConnell,AUS,male,1985-08-09,1.8,70.0,cycling,0.0,0.0,0.0
108,815557568,Daniel Teklehaimanot,ERI,male,1988-11-10,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
109,490419163,Daniela Campuzano Chavez Peon,MEX,female,1986-10-21,1.73,56.0,cycling,0.0,0.0,0.0
110,183631297,Daria Pikulik,POL,female,1997-01-06,1.65,54.0,cycling,0.0,0.0,0.0
111,399441834,Daria Shmeleva,RUS,female,1994-10-26,1.64,64.0,cycling,0.0,1.0,0.0
112,590695708,Daryl Impey,RSA,male,1984-12-06,1.83,70.0,cycling,0.0,0.0,0.0
113,146589026,David Graf,SUI,male,1989-09-08,1.8,79.0,cycling,0.0,0.0,0.0
114,440645107,David Joao Serralheiro Rosa,POR,male,1986-11-12,1.65,52.0,cycling,0.0,0.0,0.0
115,643201191,David Valero Serrano,ESP,male,1988-12-27,1.89,76.0,cycling,0.0,0.0,0.0
116,503917240,Denis Dmitriev,RUS,male,1986-03-23,1.77,90.0,cycling,0.0,0.0,1.0
117,432632544,Denys Kostyuk,UKR,male,1982-03-13,1.75,62.0,cycling,0.0,0.0,0.0
118,39686227,Diego Milan Jimenez,DOM,male,1985-07-10,1.79,67.0,cycling,0.0,0.0,0.0
119,820045789,Diego Rosa,ITA,male,1989-03-27,1.78,65.0,cycling,0.0,0.0,0.0
120,173609909,Dimitrios Antoniadis,GRE,male,1992-07-29,1.8,69.0,cycling,0.0,0.0,0.0
121,451025767,Domenic Weinstein,GER,male,1994-08-27,1.88,83.0,cycling,0.0,0.0,0.0
122,78993724,Dongjin Kang,KOR,male,1987-12-23,1.68,76.0,cycling,0.0,0.0,0.0
123,259066180,Dongyan Huang,CHN,female,1993-12-14,1.72,63.0,cycling,0.0,0.0,0.0
124,965509678,Dylan Kennett,NZL,male,1994-12-08,1.78,75.0,cycling,0.0,0.0,0.0
125,559696143,Ebtissam Mohamed,EGY,female,1996-09-25,1.63,54.0,cycling,0.0,0.0,0.0
126,367849834,Eduardo Sepulveda,ARG,male,1991-06-13,1.73,63.0,cycling,0.0,0.0,0.0
127,706338154,Edvald Boasson Hagen,NOR,male,1987-05-17,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
128,128111311,Edward Clancy,GBR,male,1985-03-12,1.85,79.0,cycling,1.0,0.0,0.0
129,461207068,Edward Dawkins,NZL,male,1989-07-11,1.85,93.0,cycling,0.0,1.0,0.0
130,32569642,Edyta Jasinska,POL,female,1986-11-28,1.77,68.0,cycling,0.0,0.0,0.0
131,594266311,Edzus Treimanis,LAT,male,1988-04-21,1.83,82.0,cycling,0.0,0.0,0.0
132,869725095,Elena Cecchini,ITA,female,1992-05-25,1.68,55.0,cycling,0.0,0.0,0.0
133,307747512,Elia Viviani,ITA,male,1989-02-07,1.77,70.0,cycling,1.0,0.0,0.0
134,460751397,Elinor Barker,GBR,female,1994-09-07,1.68,56.0,cycling,1.0,0.0,0.0
135,613098347,Elis Ligtlee,NED,female,1994-06-28,1.85,90.0,cycling,1.0,0.0,0.0
